,year,class_type,thousand_acres,perc_total_land
0,2007,insects,90.4,38.24
1,2008,insects,62.9,30.76
2,2009,insects,36.7,20.03
3,2010,insects,13.6,8.27
4,2011,insects,8.7,5.61
5,2012,insects,14.8,9.89
6,2013,insects,14.9,10.52
7,2014,insects,27.6,17.22
8,2015,insects,26.8,16.1
9,2016,insects,24.1,15.18
10,2007,disease,6.2,2.62
11,2008,disease,4.5,2.2
12,2009,disease,3.6,1.97
13,2010,disease,3.6,2.19
14,2011,disease,2.5,1.61
15,2012,disease,2.6,1.74
16,2013,disease,3.4,2.4
17,2014,disease,4.9,3.06
18,2015,disease,4.7,2.82
19,2016,disease,4.4,2.77
20,2007,weather,38.6,16.33
21,2008,weather,30.4,14.87
22,2009,weather,28.5,15.56
23,2010,weather,27.3,16.6
24,2011,weather,28.0,18.04
25,2012,weather,23.6,15.76
26,2013,weather,23.4,16.53
27,2014,weather,26.3,16.41
28,2015,weather,29.2,17.54
29,2016,weather,28.5,17.95
30,2007,fire,28.3,11.97
31,2008,fire,27.5,13.45
32,2009,fire,27.0,14.74
33,2010,fire,27.7,16.84
34,2011,fire,24.1,15.53
35,2012,fire,21.4,14.3
36,2013,fire,20.3,14.34
37,2014,fire,26.3,16.41
38,2015,fire,31.5,18.92
39,2016,fire,25.8,16.25
40,2007,domestic_animals,30.2,12.77
41,2008,domestic_animals,38.7,18.92
42,2009,domestic_animals,50.4,27.51
43,2010,domestic_animals,63.2,38.42
44,2011,domestic_animals,68.9,44.39
45,2012,domestic_animals,67.9,45.36
46,2013,domestic_animals,63.4,44.77
47,2014,domestic_animals,59.4,37.06
48,2015,domestic_animals,57.4,34.47
49,2016,domestic_animals,55.2,34.76
50,2007,wild_animals,4.3,1.82
51,2008,wild_animals,3.4,1.66
52,2009,wild_animals,2.1,1.15
53,2010,wild_animals,2.0,1.22
54,2011,wild_animals,2.0,1.29
55,2012,wild_animals,1.1,0.73
56,2013,wild_animals,1.1,0.78
57,2014,wild_animals,2.2,1.37
58,2015,wild_animals,3.0,1.8
59,2016,wild_animals,5.1,3.21
60,2007,humans,34.5,14.59
61,2008,humans,31.8,15.55
62,2009,humans,30.4,16.59
63,2010,humans,22.5,13.68
64,2011,humans,16.1,10.37
65,2012,humans,14.8,9.89
66,2013,humans,13.6,9.6
67,2014,humans,12.2,7.61
68,2015,humans,12.5,7.51
69,2016,humans,11.7,7.37
70,2007,other_natural,3.9,1.65
71,2008,other_natural,5.3,2.59
72,2009,other_natural,4.5,2.46
73,2010,other_natural,4.6,2.8
74,2011,other_natural,4.9,3.16
75,2012,other_natural,3.5,2.34
76,2013,other_natural,1.5,1.06
77,2014,other_natural,1.4,0.87
78,2015,other_natural,1.4,0.84
79,2016,other_natural,4.0,2.52
80,2007,total_disturbed,236.40000000000003,
81,2008,total_disturbed,204.50000000000003,
82,2009,total_disturbed,183.20000000000002,
83,2010,total_disturbed,164.5,
84,2011,total_disturbed,155.20000000000002,
85,2012,total_disturbed,149.70000000000002,
86,2013,total_disturbed,141.6,
87,2014,total_disturbed,160.29999999999998,
88,2015,total_disturbed,166.5,
89,2016,total_disturbed,158.79999999999998,
